path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
52c5-9947-8e96a97e-96d72b971fd6-3a90,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,52c5-9947-8e96a97e-96d72b971fd6-3a90,7.0,5.0,244.0,580000000.0,,5.527,-73.366
6b6b-92a5-7f780c9a-550617448a22-3a8b,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6b6b-92a5-7f780c9a-550617448a22-3a8b,6.0,6.0,200.0,290000000.0,,5.534,-73.346
161d-95d4-40cc5cdb-f86a4174e9c7-39dd,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,161d-95d4-40cc5cdb-f86a4174e9c7-39dd,,4.0,358.0,700000000.0,,5.538,-73.363
35a1-bdf6-8acb94d4-ac3bbca84d1c-3ff9,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,35a1-bdf6-8acb94d4-ac3bbca84d1c-3ff9,4.0,4.0,258.41,839832500.0,,5.527,-73.366
495b-ab52-18f1089-10301fa36911-7ab0,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,495b-ab52-18f1089-10301fa36911-7ab0,5.0,5.0,400.0,470000000.0,,5.535,-73.368
f53-b333-3eeb8f71-cf6dc48001db-3d8f,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f53-b333-3eeb8f71-cf6dc48001db-3d8f,4.0,5.0,375.0,1100000000.0,,5.534,-73.362
53d-85b5-b798afa7-e13aadcd5e05-330e,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,53d-85b5-b798afa7-e13aadcd5e05-330e,5.0,3.0,110.0,350000000.0,,5.542,-73.357
6036-9f5f-b1642c63-a37f88f77a40-39e5,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,6036-9f5f-b1642c63-a37f88f77a40-39e5,6.0,3.0,138.0,350000000.0,,5.541,-73.358
b8d2-b7bb-18ff31c-e592434beac2-7e44,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b8d2-b7bb-18ff31c-e592434beac2-7e44,3.0,2.0,101.0,220000000.0,,5.525,-73.36
7dc2-b048-ea811420-a7577cfae664-3c95,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7dc2-b048-ea811420-a7577cfae664-3c95,1.0,8.0,590.0,880000000.0,,5.525,-73.367
7434-81f6-e269b8cb-9d5fb5fd1c08-3bbf,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7434-81f6-e269b8cb-9d5fb5fd1c08-3bbf,3.0,2.0,220.0,380000000.0,,5.53,-73.361
e12a-bf26-5db0a021-21e44c1e5a6b-30e0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,e12a-bf26-5db0a021-21e44c1e5a6b-30e0,3.0,3.0,118.0,289000000.0,,5.534,-73.362
305b-a575-583e9335-edf9f19a97b8-3de8,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,305b-a575-583e9335-edf9f19a97b8-3de8,3.0,2.0,86.8,240000000.0,,5.517,-73.369
5ba5-afca-4086e112-274f10aeedd4-3c2c,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,5ba5-afca-4086e112-274f10aeedd4-3c2c,6.0,5.0,220.0,650000000.0,,5.503,-73.363
9b78-9096-d42f13e-891a074ee34a-3919,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,9b78-9096-d42f13e-891a074ee34a-3919,4.0,2.0,136.0,270000000.0,,5.534,-73.362
6a0a-9fdf-ad552ab-92fbdd3c38e0-3380,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,6a0a-9fdf-ad552ab-92fbdd3c38e0-3380,5.0,4.0,102.0,900000000.0,,5.542,-73.358
9e9e-a96d-7617b6c8-6cd838e39787-404f,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,9e9e-a96d-7617b6c8-6cd838e39787-404f,,,228.0,650000000.0,,5.542,-73.358
88b8-9182-d4fc0b35-b6730a63a3b3-38cb,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,88b8-9182-d4fc0b35-b6730a63a3b3-38cb,4.0,2.0,72.0,180000000.0,,5.518,-73.365
787b-81d6-2e98aad1-b18447c17498-3a95,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,787b-81d6-2e98aad1-b18447c17498-3a95,5.0,3.0,100.0,310000000.0,,5.527,-73.362
a3fa-9e5d-290786dd-27f35be5dfc4-3543,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,a3fa-9e5d-290786dd-27f35be5dfc4-3543,5.0,3.0,127.4,250000000.0,,5.525,-73.368
3aba-947c-137fbb52-55b715324260-326b,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,3aba-947c-137fbb52-55b715324260-326b,,1.0,80.0,329000000.0,,5.516,-73.368
5cf1-ba2a-6b16f76-78fb4e458811-34dd,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,5cf1-ba2a-6b16f76-78fb4e458811-34dd,3.0,1.0,79.0,160000000.0,,5.514,-73.373
c637-98f7-18f9b90-fddef7c159a8-7870,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,c637-98f7-18f9b90-fddef7c159a8-7870,6.0,2.0,201.0,450000000.0,,5.54,-73.358
46b9-be08-82990708-2512b9e916e8-309a,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,46b9-be08-82990708-2512b9e916e8-309a,4.0,4.0,129.0,320000000.0,,5.53,-73.361
1d69-a7f8-586edfb2-6c2829122d1b-4082,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1d69-a7f8-586edfb2-6c2829122d1b-4082,4.0,2.0,110.0,180000000.0,,5.531,-73.359
71e6-94de-adaa6ba0-3d973ca48706-3936,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,71e6-94de-adaa6ba0-3d973ca48706-3936,3.0,3.0,166.22,750000000.0,,5.533,-73.363
